,_id,eastAll,eastName,eastOne,eastOneyear,eastSix,eastThree,eastThreeyear,eastUrl
0,595528690a1d1f565896ada6,485.67%,华夏成长,5.81%,5.74%,10.82%,3.61%,27.90%,http://fund.eastmoney.com/000001.html
1,5955286a0a1d1f565896ada7,14.59%,南方中票C,1.20%,-1.22%,0.27%,0.44%,8.44%,http://fund.eastmoney.com/000023.html
2,59552a5dc2a5f2a9e259b604,31.93%,大摩双利增强债券C,0.71%,2.11%,0.78%,0.40%,24.69%,http://fund.eastmoney.com/000025.html
3,59552a5fc2a5f2a9e259b606,32.72%,大摩双利增强债券A,0.78%,2.49%,0.93%,0.47%,24.74%,http://fund.eastmoney.com/000024.html
4,59552a64c2a5f2a9e259b60a,15.74%,南方中票A,1.24%,-1.04%,0.33%,0.51%,9.12%,http://fund.eastmoney.com/000022.html
5,59552a67c2a5f2a9e259b60c,251.62%,华夏优势增长混合,6.65%,4.70%,9.15%,3.25%,48.92%,http://fund.eastmoney.com/000021.html
6,59559c222c289c31b3b827bb,96.20%,景顺长城品质投资混合,8.16%,21.34%,21.26%,10.22%,115.60%,http://fund.eastmoney.com/000020.html
7,59559c242c289c31b3b827bd,126.31%,财通可持续混合,6.04%,-1.44%,9.69%,0.59%,67.34%,http://fund.eastmoney.com/000017.html
8,59559c272c289c31b3b827bf,16.93%,华夏纯债债券C,1.42%,-0.52%,0.53%,0.35%,15.20%,http://fund.eastmoney.com/000016.html
9,59559c282c289c31b3b827c1,18.84%,华夏纯债债券A,1.40%,-0.17%,0.70%,0.43%,16.51%,http://fund.eastmoney.com/000015.html
10,59559c2a2c289c31b3b827c4,15.80%,华夏聚利债券,1.94%,-0.52%,0.09%,0.35%,14.88%,http://fund.eastmoney.com/000014.html
11,59559c2c2c289c31b3b827c6,0%,易方达天天理财货币R,0%,0%,0%,0%,0%,http://fund.eastmoney.com/000013.html
12,59559c2f2c289c31b3b827c8,1985.55%,华夏大盘精选,7.47%,20.43%,18.94%,9.41%,72.65%,http://fund.eastmoney.com/000011.html
13,59559c312c289c31b3b827ca,0%,易方达天天理财货币B,0%,0%,0%,0%,0%,http://fund.eastmoney.com/000010.html
