,eastAll,eastOne,eastOneyear,eastSix,eastThree,eastThreeyear
0,485.67,5.81,5.74,10.82,3.61,27.9
1,14.59,1.2,-1.22,0.27,0.44,8.44
2,31.93,0.71,2.11,0.78,0.4,24.69
3,32.72,0.78,2.49,0.93,0.47,24.74
4,15.74,1.24,-1.04,0.33,0.51,9.12
5,251.62,6.65,4.7,9.15,3.25,48.92
6,96.2,8.16,21.34,21.26,10.22,115.6
7,126.31,6.04,-1.44,9.69,0.59,67.34
8,16.93,1.42,-0.52,0.53,0.35,15.2
9,18.84,1.4,-0.17,0.7,0.43,16.51
10,15.8,1.94,-0.52,0.09,0.35,14.88
11,0.0,0.0,0.0,0.0,0.0,0.0
12,1985.55,7.47,20.43,18.94,9.41,72.65
13,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,68.05,4.81,2.2,-1.0,-4.93,51.64
16,13.97,1.52,-8.26,-2.32,-1.3,9.59
17,0.0,0.0,0.0,0.0,0.0,0.0
18,444.65,4.22,7.0,5.8,0.34,43.16
19,59.64,2.0,4.5,4.52,2.57,48.95
20,210.57,3.33,7.61,4.24,-1.59,190.43
21,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0
23,61.8,1.41,8.3,3.72,1.68,62.45
24,31.73,1.9,1.81,1.62,0.99,19.97
25,34.47,1.86,2.22,1.77,1.05,21.56
26,68.29,6.21,-1.16,3.37,-1.14,51.91
27,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0
29,62.4,6.44,23.23,11.1,4.13,70.41
30,115.71,2.41,0.92,1.38,-3.73,68.52
31,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0
33,43.74,4.71,17.63,12.72,7.79,66.18
34,80.57,3.19,-15.81,-0.26,-1.44,64.44
35,24.73,1.76,-1.24,0.51,-0.06,17.89
36,22.69,1.21,-1.73,-1.52,-2.13,12.15
37,126.27,6.18,-3.61,10.52,2.92,111.38
38,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0
40,16.67,6.34,-4.59,1.39,-0.17,13.05
41,19.12,6.38,-4.21,1.59,-0.07,14.46
42,126.3,6.31,12.27,10.89,5.72,113.08
43,93.59,7.62,9.68,12.16,4.34,74.19
44,35.8,1.19,-0.95,0.52,0.3,29.7
45,38.6,1.24,-0.5,0.73,0.43,31.5
46,16.52,2.5,1.18,0.49,0.69,1.18
47,83.27,6.42,-10.81,1.03,0.9,60.13
48,71.6,7.27,10.47,8.66,3.04,68.22
49,43.91,3.4,-14.72,-1.14,-3.1,2.55
50,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0
52,56.18,2.99,-0.85,-0.46,-0.78,42.0
53,103.26,3.0,-1.3,-1.36,-1.41,64.29
54,0.0,0.0,0.0,0.0,0.0,0.0
55,26.8,4.79,3.93,-0.47,-1.71,36.05
56,0.0,0.0,0.0,0.0,0.0,0.0
57,118.34,3.5,2.29,5.83,1.93,124.86
58,-28.7,6.42,6.9,3.94,-1.38,33.02
59,119.5,5.17,17.32,11.7,3.0,109.05
60,59.66,3.05,-0.45,-0.19,-0.64,43.7
61,55.9,4.49,12.08,14.38,6.42,91.52
62,51.5,5.35,14.51,16.45,10.42,99.34
63,15.4,4.25,1.23,6.65,2.03,76.18
64,109.78,3.07,-0.95,-1.16,-1.26,66.19
65,97.83,4.16,10.86,8.31,4.5,102.84
66,54.44,2.69,0.81,-2.56,-6.34,89.73
67,17.85,0.39,0.9,1.27,0.49,15.08
68,20.23,0.49,1.46,1.47,0.68,16.51
69,6.5,-0.09,2.8,1.14,0.19,0.0
70,0.0,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0,0.0
72,2.79,1.76,0.0,0.0,3.05,0.0
73,-2.44,1.13,0.0,0.0,-1.18,0.0
74,1.05,0.57,0.0,0.0,0.95,0.0
75,1.13,0.59,0.0,0.0,1.03,0.0
76,2.13,1.04,0.0,0.0,1.82,0.0
77,0.96,0.29,0.0,0.0,0.77,0.0
78,1.12,0.3,0.0,0.0,0.92,0.0
79,-0.44,0.23,0.0,0.95,0.45,0.0
80,0.65,0.25,0.0,1.62,1.31,0.0
81,0.0,0.0,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0,0.0,0.0
85,1.91,0.46,0.0,1.93,0.98,0.0
86,2.0,0.46,0.0,1.96,0.99,0.0
87,2.38,0.75,0.0,2.3,1.44,0.0
88,1.75,0.55,0.0,1.66,0.83,0.0
89,0.0,0.0,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0,0.0,0.0
91,6.8,1.33,1.42,1.42,0.38,5.01
92,9.1,1.39,1.96,1.68,0.55,6.34
93,0.0,0.0,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0,0.0,0.0
95,9.14,6.28,0.0,0.0,8.59,0.0
96,7.87,5.71,0.0,0.0,5.84,0.0
97,2.7,0.5,0.0,3.64,1.41,0.0
98,2.98,0.54,0.0,3.89,1.53,0.0
99,2.45,0.46,0.0,2.85,1.38,0.0
100,24.84,0.48,0.0,2.92,1.43,0.0
101,-2.5,1.56,0.0,-1.91,-2.01,0.0
102,2.7,0.29,1.58,0.69,0.29,0.0
103,5.38,0.76,4.45,2.42,0.57,0.0
104,6.8,0.85,4.81,2.59,0.75,0.0
105,8.4,2.94,7.54,6.69,3.53,0.0
106,0.0,3.09,-5.21,6.95,3.41,0.0
107,52.97,3.27,2.62,3.49,-0.1,61.53
108,-14.2,3.37,6.06,0.47,-0.23,4.0
109,0.0,0.0,0.0,0.0,0.0,0.0
110,50.2,1.04,1.04,0.94,0.38,30.25
111,0.0,0.0,0.0,0.0,0.0,0.0
112,38.51,0.96,0.28,1.08,0.56,29.78
113,0.0,0.0,0.0,0.0,0.0,0.0
114,200.02,4.83,4.37,8.64,3.17,107.61
115,46.04,8.39,12.28,11.61,6.2,40.88
116,35.28,0.69,0.61,0.2,-0.37,23.34
117,157.09,3.51,-0.37,2.37,0.42,52.84
118,55.64,4.64,-1.03,-2.28,-5.23,48.6
119,-6.58,4.77,12.7,10.23,5.05,13.18
120,53.5,1.07,1.4,1.13,0.47,31.74
121,21.21,5.75,18.44,11.7,6.49,75.59
122,0.0,0.0,0.0,0.0,0.0,0.0
123,2.61,3.93,12.01,7.73,2.99,29.98
124,150.78,3.46,-0.37,2.41,0.49,61.69
125,84.15,6.75,10.81,11.92,6.29,68.64
126,116.84,6.61,11.33,12.26,6.33,67.15
127,60.25,0.99,0.62,1.27,0.65,31.15
128,244.08,3.59,-2.05,2.93,1.17,46.73
129,24.99,0.72,2.78,1.29,0.75,24.63
130,29.53,0.74,3.22,1.5,0.86,28.49
131,0.0,0.0,0.0,0.0,0.0,0.0
132,48.2,3.56,3.85,2.7,1.3,33.39
133,45.27,4.3,2.14,2.83,1.99,24.48
134,85.03,2.14,-3.05,-1.98,-1.82,30.04
135,144.81,5.09,9.73,6.8,1.24,73.31
136,116.08,4.18,5.98,-0.68,-4.29,70.05
137,0.0,0.0,0.0,0.0,0.0,0.0
138,122.48,5.15,-24.8,-15.08,-17.83,25.49
139,120.62,3.0,-11.77,-2.71,-1.06,57.9
140,52.3,3.61,4.32,2.91,1.33,35.14
141,42.2,1.28,4.79,3.42,-0.84,50.8
142,49.82,4.34,2.6,3.05,2.16,26.27
143,45.02,7.34,6.65,6.75,-0.86,79.7
144,95.8,4.2,-22.64,-13.93,-15.71,50.27
145,92.0,2.17,-2.53,-1.78,-1.7,31.7
146,274.32,3.13,-14.43,-2.77,-1.18,44.53
147,134.69,2.13,2.45,-1.01,-1.78,55.16
148,0.0,0.0,0.0,0.0,0.0,0.0
149,0.0,0.0,0.0,0.0,0.0,0.0
150,22.29,0.79,-0.5,1.29,0.99,15.7
151,17.0,4.93,7.24,8.64,3.27,18.42
152,13.34,12.1,7.89,4.57,0.9,5.16
153,2.1,8.39,14.21,18.45,9.08,22.72
154,12.8,6.52,8.88,11.79,5.82,69.12
155,-14.1,2.02,-24.45,-10.71,-10.24,13.32
156,29.6,1.43,3.98,3.19,2.69,25.6
157,18.16,2.08,-0.51,3.92,1.24,24.05
158,11.51,3.33,3.73,6.79,4.41,30.88
159,15.7,0.52,2.75,0.87,0.52,9.05
160,51.43,0.47,-1.16,0.95,0.57,26.72
161,18.0,0.6,3.15,1.11,0.68,10.69
162,68.5,4.38,1.86,-4.47,-6.45,40.88
163,83.66,2.64,-3.89,-5.72,-8.41,81.84
164,16.95,4.26,-4.09,-2.49,-8.68,55.95
165,20.1,4.89,3.27,0.59,-3.77,39.17
166,57.09,0.45,-0.7,1.19,0.64,28.45
167,149.04,4.72,12.38,9.9,6.48,64.76
168,65.49,4.85,6.39,10.11,7.23,29.18
169,34.7,1.06,0.18,0.71,0.27,21.94
170,36.58,1.13,0.61,0.87,0.44,22.95
171,325.1,2.66,-20.17,-5.37,-6.9,62.38
172,65.11,3.26,-5.56,-6.29,-7.9,53.26
173,86.1,1.64,-5.15,-0.8,-7.37,71.68
174,105.18,4.16,5.84,4.78,1.54,79.21
175,88.05,0.69,-24.0,-13.5,-11.04,41.99
176,-37.83,3.14,-24.39,-13.93,-12.5,26.7
177,148.69,3.84,-7.09,-2.82,-3.6,20.37
178,19.3,7.57,10.57,8.65,1.45,50.82
179,0.0,0.0,0.0,0.0,0.0,0.0
180,0.0,0.0,0.0,0.0,0.0,0.0
181,36.8,1.17,4.7,3.06,1.57,24.27
182,7.79,0.86,-1.8,1.58,0.74,3.86
183,29.3,4.11,12.83,10.7,8.02,24.69
184,40.99,1.06,5.82,3.96,1.55,26.67
185,13.55,0.89,-1.41,1.77,0.84,5.0
186,69.96,4.15,6.89,13.92,6.93,44.52
187,58.5,5.88,-20.75,-6.82,-5.2,23.15
188,62.47,4.7,11.11,10.3,8.3,56.66
189,27.07,3.73,-11.2,-5.85,-2.86,60.24
190,49.43,6.45,-7.49,-4.17,-3.72,27.72
191,-19.4,6.04,-5.29,-3.5,-2.99,48.35
192,62.72,4.44,-22.6,-7.36,-8.81,-13.31
193,239.51,6.27,-0.49,1.89,2.12,14.14
194,7.68,1.45,-5.24,-3.14,-2.78,1.45
195,125.49,4.72,6.61,7.34,5.45,92.53
196,147.89,6.35,14.24,16.29,7.46,134.3
197,40.6,3.61,7.82,11.32,6.76,69.19
198,70.57,5.61,-1.17,4.47,3.36,50.39
199,169.75,3.89,11.38,9.35,6.82,141.28
200,59.34,7.63,24.72,22.14,11.98,98.43
201,34.2,3.55,-5.82,1.67,-1.4,9.55
202,-4.38,0.41,0.85,-0.08,-0.07,-7.76
203,-11.73,5.06,-5.02,1.82,1.0,14.2
204,13.87,3.04,-12.35,-2.13,-3.4,6.75
205,0.0,0.0,0.0,0.0,0.0,0.0
206,31.98,2.15,1.36,1.56,1.46,29.77
207,35.26,2.29,1.9,1.9,1.71,32.21
208,32.48,-0.94,-2.18,-3.25,-3.35,24.75
209,61.4,1.77,-4.04,-4.96,-4.76,50.2
210,0.0,0.0,0.0,0.0,0.0,0.0
211,0.0,0.0,0.0,0.0,0.0,0.0
212,0.0,0.0,0.0,0.0,0.0,0.0
213,0.0,0.0,0.0,0.0,0.0,0.0
214,0.0,0.0,0.0,0.0,0.0,0.0
215,61.8,6.55,-10.78,-1.98,-3.11,57.71
216,115.45,5.95,13.46,10.77,6.81,101.17
217,38.36,0.78,-1.02,-2.02,-1.94,15.15
218,43.4,0.86,-0.59,-1.76,-1.84,16.39
219,57.34,0.77,4.03,2.06,1.76,33.9
220,63.84,0.86,4.6,2.22,1.83,35.89
221,258.08,5.05,18.84,16.42,8.28,90.49
222,275.62,6.83,8.39,8.98,8.08,83.1
223,294.32,6.45,5.62,5.63,4.19,73.51
224,0.0,0.0,0.0,0.0,0.0,0.0
225,22.86,1.27,-1.67,-0.33,0.3,11.23
226,72.08,6.12,40.69,22.09,12.98,99.51
227,0.0,0.0,0.0,0.0,0.0,0.0
228,95.87,4.82,-11.06,0.29,-1.5,55.94
229,19.28,7.28,29.07,25.45,11.45,42.82
230,69.37,5.05,-10.96,-1.84,-6.73,38.92
231,21.51,5.73,9.66,6.72,0.94,52.21
